127.0.0.1 - - [14/Jul/2021:10:45:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jul/2021:10:45:56 +0900] "GET /Database/ex01_connect.jsp HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [14/Jul/2021:10:45:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jul/2021:11:32:09 +0900] "GET /Database/ex02_allRecord.jsp HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [14/Jul/2021:11:32:09 +0900] "GET /Database/style1.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [14/Jul/2021:11:41:35 +0900] "GET /Database/ex02_allRecord.jsp HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [14/Jul/2021:11:41:35 +0900] "GET /Database/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2021:11:41:35 +0900] "GET /Database/ex02_allRecord.jsp HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [14/Jul/2021:11:41:35 +0900] "GET /Database/ex02_allRecord.jsp HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [14/Jul/2021:11:41:38 +0900] "GET /Database/ex02_allRecord.jsp HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [14/Jul/2021:11:41:51 +0900] "GET /Database/ex02_allRecord.jsp HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:57:44 +0900] "GET /Database/ex03_allRecord.jsp HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:57:44 +0900] "GET /Database/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:57:47 +0900] "GET /Database/ex03_info.jsp?empno=7369 HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:58:42 +0900] "GET /Database/ex03_info.jsp?empno=7369 HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [14/Jul/2021:16:00:22 +0900] "GET /Database/ex03_info.jsp?empno=7369 HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [14/Jul/2021:16:08:00 +0900] "GET /Database/ex04_allRecord.jsp HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [14/Jul/2021:16:08:02 +0900] "GET /Database/ex04_info.jsp?empno=7369 HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [14/Jul/2021:16:09:58 +0900] "GET /Database/ex04_allRecord.jsp HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [14/Jul/2021:16:10:01 +0900] "GET /Database/ex04_info.jsp?empno=7369 HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [14/Jul/2021:16:11:50 +0900] "GET /Database/ex04_allRecord.jsp HTTP/1.1" 200 1708
